Rank,Nation,Odds,Percentage,
1,Spain,4.50,22.22%,
2,France,6.00,16.67%,
3,England,5.50,18.18%,
4,Argentina,8.00,12.50%,
5,Brazil,8.00,12.50%,
6,Portugal,12.00,8.33%,
7,Germany,12.00,8.33%,
8,Netherlands,20.00,5.00%,
9,Norway,25.00,4.00%,
10,Belgium,33.00,3.03%,
11,Switzerland,40.00,2.50%,
12,Colombia,50.00,2.00%,
13,Morocco,50.00,2.00%,
14,USA,50.00,2.00%,
15,Japan,66.00,1.52%,
16,Uruguay,80.00,1.25%,
17,Mexico,80.00,1.25%,
18,Turkey,100.00,1.00%,
19,Croatia,100.00,1.00%,
20,Ecuador,100.00,1.00%,
21,Senegal,100.00,1.00%,
22,Austria,150.00,0.67%,
23,Sweden,150.00,0.67%,
24,Paraguay,150.00,0.67%,
25,Canada,150.00,0.67%,
26,Scotland,250.00,0.40%,
27,Bosnia and Herzegovina,250.00,0.40%,
28,Egypt,300.00,0.33%,
29,Czechia,300.00,0.33%,
30,Ivory Coast,300.00,0.33%,
31,Algeria,300.00,0.33%,
32,Ghana,400.00,0.25%,
33,Iran,500.00,0.20%,
34,South Korea,500.00,0.20%,
35,Australia,500.00,0.20%,
36,Tunisia,500.00,0.20%,
37,DR Congo,750.00,0.13%,
38,Qatar,"1,000.00",0.10%,
39,Saudi Arabia,"1,000.00",0.10%,
40,South Africa,"1,000.00",0.10%,
41,New Zealand,"1,500.00",0.07%,
42,Panama,"1,500.00",0.07%,
43,Iraq,"1,500.00",0.07%,
44,Cape Verde,"2,000.00",0.05%,
45,Uzbekistan,"2,000.00",0.05%,
46,Curacao,"2,000.00",0.05%,
47,Jordan,"2,500.00",0.04%,
48,Haiti,"3,000.00",0.03%,